"site","Quartzite.and.pelitic.schist","Pelitic.and.quartzitic.schist.of.the.Ruby.terrane","Unconsolidated.surficial.deposits..undivided","Quartz.monzonite..monzonite..and.syenite","Wickersham.and.Neruokpuk.units","Mafic.schist.and.amphibolite","Flysch.and.quartzite..Kandik.Group.and.equivalents","Eclogite.and.associated.rocks","Water","Pelitic.schist..including.Chena.River.sequence","Metagraywacke.and.phyllite","Andesite.and.basalt.flows","Poorly.consolidated.surficial.deposits","Felsic.granitic.rocks","Globe.quartzite.of.Weber.and.others..1992.","Igneous.rocks","Totatlanika.Schist","Mafic.igneous.rocks..central.and.northeast.Alaska","Older.carbonate.strata","Chert.of.Interior.Alaska","Quartz.mica.schist.of.the.Brooks.Range","Keevy.Peak.Formation.and.similar.rocks","Gneiss..schist..and.quartzite","schistTot"
"Monument_Creek_2",53.92,0,16.18,0,0,0,0,0,0,0,0,0,0,29.3,0,0,0,0,0,0,0,0,0,53.92
"Moose",0,0,37.37,0,0,0,0,0,0,0,0,0,0,24.41,0,0,0,0,0,0,0,0,0,0
"Moose_Fbks",39.31,0,54.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.31
"Moose_Steese",89.2,0,0,0,0,0,0,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.2
"Mp_314_Richardson",0,0,77.91,0,0,0,0,0,0,17.85,0,0,0,0,0,0,0,0,0,0,0,0,0,17.85
"Murphy_dome",41.72,0,57.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.72
"NFkChena",81.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.41
"NoName",0,45.03,17.85,0,0,0,0,0,0,0,0,0,7.56,0,0,0,0,0,0,0,0,0,0,45.03
"North_Fork_Chena_Hsr",81.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.41
"Pilot_Captain",50.42,0,6.39,0,0,0,0,40.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.42
"Pioneer",0,0,46.39,0,0,0,15.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Poker_PC",23.03,0,66.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.03
"Poker_PJ",23.04,0,66.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.04
"Pool",99.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.49
"Prospect Creek",0,49.45,29.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.45
"Ptarmigan_E_Creek",91.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.49
"Ptarmigan_W_Creek",89.2,0,0,0,0,0,0,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.2
"Rosa",0,0,96.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salcha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SFkChena",0,0,34.9,0,0,0,0,0,0,0,0,0,0,8.32,0,0,7.94,0,0,0,0,0,0,7.94
"SFkKoyukuk",0,0,30.6,27.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.75,0,0,6.75
"Slate",0,0,28.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.39,0,0,43.39
"Smith",97.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.42
"Snowshoe",30.51,0,23.87,0,37.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.51
